JobID   Type  Request Time  End Time  Turnaround Time   Pad   Size
___________________________________________________________________
  2       L         2          4            2            B      2 
  1       D         0          4            4            A      4 
  3       L         4          6            2            A      2 
  4       L         6          8            2            A      2 
  5       L         8         10            2            A      2 
  6       D         8         14            6            A      4 
  7       L        12         14            2            B      2 
  9       L        14         16            2            A      2 
 10       L        16         18            2            A      2 
 11       L        18         20            2            A      2 
 12       L        20         22            2            A      2 
 13       L        22         24            2            A      2 
  8       A        12         26           14            B     12 
 15       D        24         28            4            A      4 
 16       L        26         30            4            A      2 
 17       L        28         32            4            A      2 
 18       L        30         34            4            A      2 
 19       L        32         36            4            A      2 
 21       L        34         38            4            A      2 
 14       A        24         38           14            B     12 
 23       L        38         40            2            B      2 
 22       L        36         40            4            A      2 
 25       L        40         42            2            B      2 
 26       L        42         44            2            B      2 
 20       D        32         44           12            A      4 
 27       L        44         46            2            B      2 
 24       D        38         48           10            A      4 
 28       L        46         48            2            B      2 
 29       L        48         50            2            A      2 
 31       L        50         52            2            B      2 
 30       D        48         54            6            A      4 
 32       L        52         54            2            B      2 
 34       L        54         56            2            A      2 
 35       D        54         60            6            A      4 
 36       L        56         62            6            A      2 
 37       L        58         64            6            A      2 
 33       A        52         66           14            B     12 
 38       L        60         66            6            A      2 
 40       L        64         68            4            A      2 
 39       L        62         68            6            B      2 
 42       L        66         70            4            A      2 
 43       L        68         72            4            A      2 
 44       L        70         74            4            A      2 
 45       L        72         76            4            A      2 
 46       L        74         78            4            A      2 
 48       L        76         80            4            A      2 
 41       A        64         80           16            B     12 
 51       E        80         82            2            A      2 
 52       E        80         82            2            B      2 
 50       L        78         84            6            A      2 
 53       L        80         84            4            B      2 
 54       L        82         86            4            A      2 
 55       L        84         86            2            B      2 
 56       L        88         90            2            B      2 
 47       D        74         90           16            A      4 
 58       L        92         94            2            B      2 
 49       D        76         94           18            A      4 
 59       L        94         96            2            B      2 
 60       L        96         98            2            B      2 
 57       D        90         98            8            A      4 
 61       L        98        100            2            A      2 
 62       L       100        102            2            A      2 
 64       L       104        106            2            B      2 
 63       D       102        106            4            A      4 
 65       L       106        108            2            A      2 
 66       L       114        116            2            A      2 
 67       L       118        120            2            A      2 
